DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,EDUCATION_LEVEL:Education Level,WEALTH_QUINTILE:Wealth Quintile,RESIDENCE:Residence,UNIT_MEASURE:Unit of measure,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,SOURCE_LINK:Citation of or link to the data source,SERIES_FOOTNOTE:Series footnote,OBS_STATUS:Observation Status,DATA_SOURCE:Data Source,OBS_CONF:Observation confidentaility,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,COVERAGE_TIME:The period of time for which data are provided,OBS_FOOTNOTE:Observation footnote,FREQ_COLL:Time interval at which the source data are collected
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,F: Female,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2015,53.2,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,M: Male,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2015,73.1,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q1: Lowest,_T: Total,PCNT: %,2015,59.4,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q2: Second,_T: Total,PCNT: %,2015,53.8,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q3: Middle,_T: Total,PCNT: %,2015,55.6,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q4: Fourth,_T: Total,PCNT: %,2015,68.2,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q5: Highest,_T: Total,PCNT: %,2015,83.3,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,R: Rural,PCNT: %,2015,58.6,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,U: Urban,PCNT: %,2015,80.3,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2015,63.7,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,F: Female,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2015,27.9,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,M: Male,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2015,47.8,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q1: Lowest,_T: Total,PCNT: %,2015,29.1,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q2: Second,_T: Total,PCNT: %,2015,31.5,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q3: Middle,_T: Total,PCNT: %,2015,30.4,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q4: Fourth,_T: Total,PCNT: %,2015,43.2,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q5: Highest,_T: Total,PCNT: %,2015,57.2,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,_T: Total,R: Rural,PCNT: %,2015,33,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,_T: Total,U: Urban,PCNT: %,2015,53.5,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2015,38.3,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,F: Female,ISCED11_3: Upper secondary education,_T: Total,_T: Total,PCNT: %,2015,18.9,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,M: Male,ISCED11_3: Upper secondary education,_T: Total,_T: Total,PCNT: %,2015,37.1,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,Q1: Lowest,_T: Total,PCNT: %,2015,17,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,Q2: Second,_T: Total,PCNT: %,2015,21,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,Q3: Middle,_T: Total,PCNT: %,2015,21.8,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,Q4: Fourth,_T: Total,PCNT: %,2015,32.9,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,Q5: Highest,_T: Total,PCNT: %,2015,44.6,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,_T: Total,R: Rural,PCNT: %,2015,23.6,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,_T: Total,U: Urban,PCNT: %,2015,39.9,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,_T: Total,_T: Total,PCNT: %,2015,28,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L1: Completion rate for children of primary school age,F: Female,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2015,40.2,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L1: Completion rate for children of primary school age,M: Male,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2015,67.2,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L1: Completion rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q1: Lowest,_T: Total,PCNT: %,2015,44.5,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L1: Completion rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q2: Second,_T: Total,PCNT: %,2015,46,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L1: Completion rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q3: Middle,_T: Total,PCNT: %,2015,42.6,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L1: Completion rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q4: Fourth,_T: Total,PCNT: %,2015,60,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L1: Completion rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q5: Highest,_T: Total,PCNT: %,2015,74.5,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L1: Completion rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,R: Rural,PCNT: %,2015,47.8,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L1: Completion rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,U: Urban,PCNT: %,2015,70.8,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L1: Completion rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2015,53.9,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L2: Completion rate for adolescents of lower secondary school age,F: Female,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2015,25.63134,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L2: Completion rate for adolescents of lower secondary school age,M: Male,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2015,49.2965,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q1: Lowest,_T: Total,PCNT: %,2015,24.39759,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q2: Second,_T: Total,PCNT: %,2015,28.77614,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q3: Middle,_T: Total,PCNT: %,2015,28.97455,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q4: Fourth,_T: Total,PCNT: %,2015,38.98357,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q5: Highest,_T: Total,PCNT: %,2015,60.46673,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,_T: Total,R: Rural,PCNT: %,2015,30.62221,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,_T: Total,U: Urban,PCNT: %,2015,55.02061,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2015,37.21708,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L3: Completion rate for youth of upper secondary education school age,F: Female,ISCED11_3: Upper secondary education,_T: Total,_T: Total,PCNT: %,2015,14.36536,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L3: Completion rate for youth of upper secondary education school age,M: Male,ISCED11_3: Upper secondary education,_T: Total,_T: Total,PCNT: %,2015,32.31556,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,ISCED11_3: Upper secondary education,Q1: Lowest,_T: Total,PCNT: %,2015,11.18715,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,ISCED11_3: Upper secondary education,Q2: Second,_T: Total,PCNT: %,2015,13.52803,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,ISCED11_3: Upper secondary education,Q3: Middle,_T: Total,PCNT: %,2015,13.33416,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,ISCED11_3: Upper secondary education,Q4: Fourth,_T: Total,PCNT: %,2015,23.04198,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,ISCED11_3: Upper secondary education,Q5: Highest,_T: Total,PCNT: %,2015,46.00013,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,ISCED11_3: Upper secondary education,_T: Total,R: Rural,PCNT: %,2015,16.60744,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,ISCED11_3: Upper secondary education,_T: Total,U: Urban,PCNT: %,2015,38.91307,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,ISCED11_3: Upper secondary education,_T: Total,_T: Total,PCNT: %,2015,22.89534,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_MAT_G23: Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in mathematics,F: Female,GRAD23: Grade 2 or 3 of primary school,_T: Total,_T: Total,PCNT: %,2016,22.5,,,,,UNSD Global SDG Database,,,2016,,
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_MAT_G23: Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in mathematics,M: Male,GRAD23: Grade 2 or 3 of primary school,_T: Total,_T: Total,PCNT: %,2016,26.5,,,,,UNSD Global SDG Database,,,2016,,
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_MAT_G23: Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in mathematics,_T: Total,GRAD23: Grade 2 or 3 of primary school,_T: Total,_T: Total,PCNT: %,2016,24.5,,,,,UNSD Global SDG Database,,,2016,,
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_MAT_L1: Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,_T: Total,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2013,11,,,,,UNSD Global SDG Database,,,2013,,
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_READ_G23: Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading,F: Female,GRAD23: Grade 2 or 3 of primary school,_T: Total,_T: Total,PCNT: %,2016,22.5,,,,,UNSD Global SDG Database,,,2016,,
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_READ_G23: Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading,M: Male,GRAD23: Grade 2 or 3 of primary school,_T: Total,_T: Total,PCNT: %,2016,21.5,,,,,UNSD Global SDG Database,,,2016,,
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_READ_G23: Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading,_T: Total,GRAD23: Grade 2 or 3 of primary school,_T: Total,_T: Total,PCNT: %,2016,22,,,,,UNSD Global SDG Database,,,2016,,
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_READ_L1: Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,_T: Total,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2013,13,,,,,UNSD Global SDG Database,,,2013,,
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ROFST_L1: Out-of-school rate for children of primary school age,F: Female,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2015,47.1,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ROFST_L1: Out-of-school rate for children of primary school age,M: Male,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2015,27.8,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ROFST_L1: Out-of-school rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q1: Lowest,_T: Total,PCNT: %,2015,41.5,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ROFST_L1: Out-of-school rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q2: Second,_T: Total,PCNT: %,2015,46.9,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ROFST_L1: Out-of-school rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q3: Middle,_T: Total,PCNT: %,2015,45.6,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ROFST_L1: Out-of-school rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q4: Fourth,_T: Total,PCNT: %,2015,32.3,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_ROFST_L1: Out-of-school rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q5: Highest,_T: Total,PCNT: %,2015,16.2,,,,AD: Adjusted,DHS 2015,,EOF: End of fieldwork,2015,,0: Not Known
