Country,Indicator,Sex,Education Level,Wealth Quintile,Residence,Value,Time
Afghanistan, Out-of-school rate for children of primary school age,Male,Primary education,Total,Total,27.8,2015
Afghanistan, Out-of-school rate for children of primary school age, Total,Primary education,Lowest,Total,41.5,2015
Afghanistan, Out-of-school rate for children of primary school age, Total,Primary education,Second,Total,46.9,2015
Afghanistan, Out-of-school rate for children of primary school age, Total,Primary education,Middle,Total,45.6,2015
Afghanistan, Out-of-school rate for children of primary school age, Total,Primary education,Fourth,Total,32.3,2015
Afghanistan, Out-of-school rate for children of primary school age, Total,Primary education,Highest,Total,16.2,2015
Afghanistan, Out-of-school rate for children of primary school age, Total,Primary education,Total,ural,42.3,2015
Afghanistan, Out-of-school rate for children of primary school age, Total,Primary education,Total,rban,19.3,2015
Afghanistan, Out-of-school rate for children of primary school age, Total,Primary education,Total,Total,37.0,2015
Angola,Adjusted net attendance rate for children of primary school age,Female,Primary education,Total,Total,75.6,2016
Angola,Adjusted net attendance rate for children of primary school age,Male,Primary education,Total,Total,76.1,2016
Angola,Adjusted net attendance rate for children of primary school age, Total,Primary education,Lowest,Total,55.9,2016
Angola,Adjusted net attendance rate for children of primary school age, Total,Primary education,Second,Total,64.0,2016
Angola,Adjusted net attendance rate for children of primary school age, Total,Primary education,Middle,Total,78.4,2016
Angola,Adjusted net attendance rate for children of primary school age, Total,Primary education,Fourth,Total,86.7,2016
Angola,Adjusted net attendance rate for children of primary school age, Total,Primary education,Highest,Total,94.9,2016
Angola,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,ural,61.3,2016
Angola,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,rban,83.9,2016
Angola,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,Total,75.8,2016
Angola,mpletion rate for children of primary school age,Female,Primary education,Total,Total,56.63134,2016
Angola,mpletion rate for children of primary school age,Male,Primary education,Total,Total,63.2789,2016
Angola,mpletion rate for children of primary school age, Total,Primary education,Lowest,Total,18.8034,2016
Angola,mpletion rate for children of primary school age, Total,Primary education,Second,Total,30.39079,2016
Angola,mpletion rate for children of primary school age, Total,Primary education,Middle,Total,60.57188,2016
Angola,mpletion rate for children of primary school age, Total,Primary education,Fourth,Total,76.82642,2016
Angola,mpletion rate for children of primary school age, Total,Primary education,Highest,Total,89.00835,2016
Angola,mpletion rate for children of primary school age, Total,Primary education,Total,ural,27.18701,2016
Angola,mpletion rate for children of primary school age, Total,Primary education,Total,rban,73.65507,2016
Angola,mpletion rate for children of primary school age, Total,Primary education,Total,Total,59.84966,2016
Angola, Out-of-school rate for children of primary school age,Female,Primary education,Total,Total,22.13231,2016
Angola, Out-of-school rate for children of primary school age,Male,Primary education,Total,Total,21.26763,2016
Angola, Out-of-school rate for children of primary school age, Total,Primary education,Lowest,Total,39.32669,2016
Angola, Out-of-school rate for children of primary school age, Total,Primary education,Second,Total,33.17922,2016
Angola, Out-of-school rate for children of primary school age, Total,Primary education,Middle,Total,19.23479,2016
Angola, Out-of-school rate for children of primary school age, Total,Primary education,Fourth,Total,11.60663,2016
Angola, Out-of-school rate for children of primary school age, Total,Primary education,Highest,Total,4.519701,2016
Angola, Out-of-school rate for children of primary school age, Total,Primary education,Total,ural,34.78753,2016
Angola, Out-of-school rate for children of primary school age, Total,Primary education,Total,rban,14.42317,2016
Angola, Out-of-school rate for children of primary school age, Total,Primary education,Total,Total,21.69482,2016
Albania,Adjusted net attendance rate for children of primary school age,Female,Primary education,Total,Total,91.39299,2018
Albania,Adjusted net attendance rate for children of primary school age,Male,Primary education,Total,Total,88.87922,2018
Albania,Adjusted net attendance rate for children of primary school age, Total,Primary education,Lowest,Total,88.60323,2018
Albania,Adjusted net attendance rate for children of primary school age, Total,Primary education,Second,Total,90.86306,2018
Albania,Adjusted net attendance rate for children of primary school age, Total,Primary education,Middle,Total,89.56472,2018
Albania,Adjusted net attendance rate for children of primary school age, Total,Primary education,Fourth,Total,90.02589,2018
Albania,Adjusted net attendance rate for children of primary school age, Total,Primary education,Highest,Total,91.98978,2018
Albania,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,ural,89.18787,2018
Albania,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,rban,90.85358,2018
Albania,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,Total,90.11922,2018
Albania,mpletion rate for children of primary school age,Female,Primary education,Total,Total,95.69837,2018
Albania,mpletion rate for children of primary school age,Male,Primary education,Total,Total,94.15596,2018
Albania,mpletion rate for children of primary school age, Total,Primary education,Lowest,Total,93.34053,2018
Albania,mpletion rate for children of primary school age, Total,Primary education,Second,Total,93.46988,2018
Albania,mpletion rate for children of primary school age, Total,Primary education,Middle,Total,95.76741,2018
Albania,mpletion rate for children of primary school age, Total,Primary education,Fourth,Total,94.2908,2018
Albania,mpletion rate for children of primary school age, Total,Primary education,Highest,Total,97.96986,2018
Albania,mpletion rate for children of primary school age, Total,Primary education,Total,ural,93.07466,2018
Albania,mpletion rate for children of primary school age, Total,Primary education,Total,rban,96.30837,2018
Albania,mpletion rate for children of primary school age, Total,Primary education,Total,Total,94.92128,2018
Albania,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics, Total,Primary education,Total,Total,62.0,2019
Albania, Out-of-school rate for children of primary school age,Female,Primary education,Total,Total,2.1,2018
Albania, Out-of-school rate for children of primary school age,Male,Primary education,Total,Total,2.6,2018
Albania, Out-of-school rate for children of primary school age, Total,Primary education,Lowest,Total,3.8,2018
Albania, Out-of-school rate for children of primary school age, Total,Primary education,Second,Total,2.6,2018
Albania, Out-of-school rate for children of primary school age, Total,Primary education,Middle,Total,2.3,2018
Albania, Out-of-school rate for children of primary school age, Total,Primary education,Fourth,Total,1.5,2018
Albania, Out-of-school rate for children of primary school age, Total,Primary education,Highest,Total,1.1,2018
Albania, Out-of-school rate for children of primary school age, Total,Primary education,Total,ural,3.9,2018
Albania, Out-of-school rate for children of primary school age, Total,Primary education,Total,rban,1.1,2018
Albania, Out-of-school rate for children of primary school age, Total,Primary education,Total,Total,2.4,2018
United Arab Emirates,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Female,Primary education,Total,Total,42.58305,2015
United Arab Emirates,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Male,Primary education,Total,Total,42.3955,2015
United Arab Emirates,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics, Total,Primary education,Total,Total,53.0,2019
United Arab Emirates,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Female,Primary education,Total,Total,73.96694,2016
United Arab Emirates,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Male,Primary education,Total,Total,61.63219,2016
United Arab Emirates,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading, Total,Primary education,Total,Total,67.57123,2016
Argentina,Adjusted net attendance rate for children of primary school age,Female,Primary education,Total,Total,97.89252,2020
Argentina,Adjusted net attendance rate for children of primary school age,Male,Primary education,Total,Total,98.4533,2020
Argentina,Adjusted net attendance rate for children of primary school age, Total,Primary education,Lowest,Total,97.94641,2020
Argentina,Adjusted net attendance rate for children of primary school age, Total,Primary education,Second,Total,98.60636,2020
Argentina,Adjusted net attendance rate for children of primary school age, Total,Primary education,Middle,Total,97.89781,2020
Argentina,Adjusted net attendance rate for children of primary school age, Total,Primary education,Fourth,Total,97.47001,2020
Argentina,Adjusted net attendance rate for children of primary school age, Total,Primary education,Highest,Total,99.07143,2020
Argentina,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,Total,98.18102,2020
Argentina,mpletion rate for children of primary school age,Female,Primary education,Total,Total,98.04008,2020
Argentina,mpletion rate for children of primary school age,Male,Primary education,Total,Total,95.66692,2020
Argentina,mpletion rate for children of primary school age, Total,Primary education,Lowest,Total,96.38461,2020
Argentina,mpletion rate for children of primary school age, Total,Primary education,Second,Total,95.74251,2020
Argentina,mpletion rate for children of primary school age, Total,Primary education,Middle,Total,98.01806,2020
Argentina,mpletion rate for children of primary school age, Total,Primary education,Fourth,Total,96.62276,2020
Argentina,mpletion rate for children of primary school age, Total,Primary education,Highest,Total,98.01836,2020
Argentina,mpletion rate for children of primary school age, Total,Primary education,Total,Total,96.83912,2020
Argentina,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Female,Primary education,Total,Total,52.52728,2013
Argentina,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Male,Primary education,Total,Total,58.6276,2013
Argentina,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics, Total,Primary education,Total,Total,55.60281,2013
Argentina,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Female,Primary education,Total,Total,51.40234,2013
Argentina,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Male,Primary education,Total,Total,41.369,2013
Argentina,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading, Total,Primary education,Total,Total,46.42104,2013
Argentina, Out-of-school rate for children of primary school age,Female,Primary education,Total,Total,0.2271357,2020
Argentina, Out-of-school rate for children of primary school age,Male,Primary education,Total,Total,0.3002293,2020
Argentina, Out-of-school rate for children of primary school age, Total,Primary education,Lowest,Total,0.4439408,2020
Argentina, Out-of-school rate for children of primary school age, Total,Primary education,Second,Total,0.1485727,2020
Argentina, Out-of-school rate for children of primary school age, Total,Primary education,Middle,Total,0.3321733,2020
Argentina, Out-of-school rate for children of primary school age, Total,Primary education,Fourth,Total,0.1641895,2020
Argentina, Out-of-school rate for children of primary school age, Total,Primary education,Highest,Total,0.1310928,2020
Argentina, Out-of-school rate for children of primary school age, Total,Primary education,Total,Total,0.2647399,2020
Armenia,Adjusted net attendance rate for children of primary school age,Female,Primary education,Total,Total,95.35859,2016
Armenia,Adjusted net attendance rate for children of primary school age,Male,Primary education,Total,Total,95.49166,2016
Armenia,Adjusted net attendance rate for children of primary school age, Total,Primary education,Lowest,Total,94.72548,2016
Armenia,Adjusted net attendance rate for children of primary school age, Total,Primary education,Second,Total,93.37766,2016
Armenia,Adjusted net attendance rate for children of primary school age, Total,Primary education,Middle,Total,94.14807,2016
Armenia,Adjusted net attendance rate for children of primary school age, Total,Primary education,Fourth,Total,97.35194,2016
Armenia,Adjusted net attendance rate for children of primary school age, Total,Primary education,Highest,Total,97.07201,2016
Armenia,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,ural,94.7536,2016
Armenia,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,rban,95.89412,2016
Armenia,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,Total,95.42789,2016
Armenia,mpletion rate for children of primary school age,Female,Primary education,Total,Total,99.11264,2016
Armenia,mpletion rate for children of primary school age,Male,Primary education,Total,Total,99.38925,2016
Armenia,mpletion rate for children of primary school age, Total,Primary education,Lowest,Total,98.66219,2016
Armenia,mpletion rate for children of primary school age, Total,Primary education,Second,Total,99.73003,2016
Armenia,mpletion rate for children of primary school age, Total,Primary education,Middle,Total,97.95835,2016
Armenia,mpletion rate for children of primary school age, Total,Primary education,Fourth,Total,100.0,2016
Armenia,mpletion rate for children of primary school age, Total,Primary education,Highest,Total,100.0,2016
Armenia,mpletion rate for children of primary school age, Total,Primary education,Total,ural,99.54598,2016
Armenia,mpletion rate for children of primary school age, Total,Primary education,Total,rban,99.0736,2016
Armenia,mpletion rate for children of primary school age, Total,Primary education,Total,Total,99.26644,2016
Armenia,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Female,Primary education,Total,Total,55.83526,2015
Armenia,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Male,Primary education,Total,Total,53.35225,2015
Armenia,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics, Total,Primary education,Total,Total,64.0,2019
Armenia, Out-of-school rate for children of primary school age,Female,Primary education,Total,Total,4.3,2016
Armenia, Out-of-school rate for children of primary school age,Male,Primary education,Total,Total,4.6,2016
Armenia, Out-of-school rate for children of primary school age, Total,Primary education,Lowest,Total,6.1,2016
Armenia, Out-of-school rate for children of primary school age, Total,Primary education,Second,Total,6.5,2016
Armenia, Out-of-school rate for children of primary school age, Total,Primary education,Middle,Total,5.6,2016
Armenia, Out-of-school rate for children of primary school age, Total,Primary education,Fourth,Total,2.9,2016
Armenia, Out-of-school rate for children of primary school age, Total,Primary education,Highest,Total,1.8,2016
Armenia, Out-of-school rate for children of primary school age, Total,Primary education,Total,ural,6.0,2016
Armenia, Out-of-school rate for children of primary school age, Total,Primary education,Total,rban,3.4,2016
Armenia, Out-of-school rate for children of primary school age, Total,Primary education,Total,Total,4.5,2016
Australia,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Female,Primary education,Total,Total,63.93016,2015
Australia,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Male,Primary education,Total,Total,65.67903,2015
Australia,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics, Total,Primary education,Total,Total,68.0,2019
Austria,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics, Total,Primary education,Total,Total,84.0,2019
Austria,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Female,Primary education,Total,Total,98.08942,2016
Austria,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Male,Primary education,Total,Total,97.10886,2016
Austria,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading, Total,Primary education,Total,Total,97.58574,2016
Azerbaijan,Adjusted net attendance rate for children of primary school age,Female,Primary education,Total,Total,66.7,2011
Azerbaijan,Adjusted net attendance rate for children of primary school age,Male,Primary education,Total,Total,68.6,2011
Azerbaijan,Adjusted net attendance rate for children of primary school age, Total,Primary education,Lowest,Total,66.7,2011
Azerbaijan,Adjusted net attendance rate for children of primary school age, Total,Primary education,Second,Total,63.7,2011
Azerbaijan,Adjusted net attendance rate for children of primary school age, Total,Primary education,Middle,Total,67.4,2011
Azerbaijan,Adjusted net attendance rate for children of primary school age, Total,Primary education,Fourth,Total,71.4,2011
Azerbaijan,Adjusted net attendance rate for children of primary school age, Total,Primary education,Highest,Total,70.0,2011
Azerbaijan,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,ural,67.0,2011
Azerbaijan,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,rban,68.3,2011
Azerbaijan,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,Total,67.7,2011
Azerbaijan,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics, Total,Primary education,Total,Total,72.0,2019
Azerbaijan,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Female,Primary education,Total,Total,83.53725,2016
Azerbaijan,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Male,Primary education,Total,Total,78.49785,2016
Azerbaijan,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading, Total,Primary education,Total,Total,80.78633,2016
Burundi,Adjusted net attendance rate for children of primary school age,Female,Primary education,Total,Total,82.16414,2017
Burundi,Adjusted net attendance rate for children of primary school age,Male,Primary education,Total,Total,82.06113,2017
Burundi,Adjusted net attendance rate for children of primary school age, Total,Primary education,Lowest,Total,63.8855,2017
Burundi,Adjusted net attendance rate for children of primary school age, Total,Primary education,Second,Total,78.61074,2017
Burundi,Adjusted net attendance rate for children of primary school age, Total,Primary education,Middle,Total,85.84161,2017
Burundi,Adjusted net attendance rate for children of primary school age, Total,Primary education,Fourth,Total,89.41019,2017
Burundi,Adjusted net attendance rate for children of primary school age, Total,Primary education,Highest,Total,93.63457,2017
Burundi,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,ural,80.98477,2017
Burundi,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,rban,93.76028,2017
Burundi,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,Total,82.11375,2017
Burundi,mpletion rate for children of primary school age,Female,Primary education,Total,Total,54.1,2017
Burundi,mpletion rate for children of primary school age,Male,Primary education,Total,Total,46.0,2017
Burundi,mpletion rate for children of primary school age, Total,Primary education,Lowest,Total,26.4,2017
Burundi,mpletion rate for children of primary school age, Total,Primary education,Second,Total,38.8,2017
Burundi,mpletion rate for children of primary school age, Total,Primary education,Middle,Total,53.8,2017
Burundi,mpletion rate for children of primary school age, Total,Primary education,Fourth,Total,56.8,2017
Burundi,mpletion rate for children of primary school age, Total,Primary education,Highest,Total,64.4,2017
Burundi,mpletion rate for children of primary school age, Total,Primary education,Total,ural,47.3,2017
Burundi,mpletion rate for children of primary school age, Total,Primary education,Total,rban,69.9,2017
Burundi,mpletion rate for children of primary school age, Total,Primary education,Total,Total,50.1,2017
Burundi,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Female,Primary education,Total,Total,54.01,2014
Burundi,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Male,Primary education,Total,Total,28.75,2014
Burundi,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics, Total,Primary education,Total,Total,18.0,2019
Burundi,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Female,Primary education,Total,Total,6.32,2014
Burundi,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Male,Primary education,Total,Total,4.42,2014
Burundi,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading, Total,Primary education,Total,Total,4.5,2019
Burundi, Out-of-school rate for children of primary school age,Female,Primary education,Total,Total,17.6,2017
Burundi, Out-of-school rate for children of primary school age,Male,Primary education,Total,Total,17.8,2017
Burundi, Out-of-school rate for children of primary school age, Total,Primary education,Lowest,Total,36.0,2017
Burundi, Out-of-school rate for children of primary school age, Total,Primary education,Second,Total,21.0,2017
Burundi, Out-of-school rate for children of primary school age, Total,Primary education,Middle,Total,14.0,2017
Burundi, Out-of-school rate for children of primary school age, Total,Primary education,Fourth,Total,10.5,2017
Burundi, Out-of-school rate for children of primary school age, Total,Primary education,Highest,Total,6.3,2017
Burundi, Out-of-school rate for children of primary school age, Total,Primary education,Total,ural,18.8,2017
Burundi, Out-of-school rate for children of primary school age, Total,Primary education,Total,rban,6.1,2017
Burundi, Out-of-school rate for children of primary school age, Total,Primary education,Total,Total,17.7,2017
Belgium,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics, Total,Primary education,Total,Total,80.0,2019
Belgium,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading, Total,Primary education,Total,Total,97.42,2016
Benin,Adjusted net attendance rate for children of primary school age,Female,Primary education,Total,Total,65.1,2018
Benin,Adjusted net attendance rate for children of primary school age,Male,Primary education,Total,Total,71.4,2018
Benin,Adjusted net attendance rate for children of primary school age, Total,Primary education,Lowest,Total,40.6,2018
Benin,Adjusted net attendance rate for children of primary school age, Total,Primary education,Second,Total,60.4,2018
Benin,Adjusted net attendance rate for children of primary school age, Total,Primary education,Middle,Total,69.8,2018
Benin,Adjusted net attendance rate for children of primary school age, Total,Primary education,Fourth,Total,85.1,2018
Benin,Adjusted net attendance rate for children of primary school age, Total,Primary education,Highest,Total,93.4,2018
Benin,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,ural,61.6,2018
Benin,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,rban,79.1,2018
Benin,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,Total,68.3,2018
Benin,mpletion rate for children of primary school age,Female,Primary education,Total,Total,44.19647,2018
Benin,mpletion rate for children of primary school age,Male,Primary education,Total,Total,51.01598,2018
Benin,mpletion rate for children of primary school age, Total,Primary education,Lowest,Total,21.07088,2018
Benin,mpletion rate for children of primary school age, Total,Primary education,Second,Total,33.13256,2018
Benin,mpletion rate for children of primary school age, Total,Primary education,Middle,Total,44.97469,2018
Benin,mpletion rate for children of primary school age, Total,Primary education,Fourth,Total,57.51981,2018
Benin,mpletion rate for children of primary school age, Total,Primary education,Highest,Total,75.79321,2018
Benin,mpletion rate for children of primary school age, Total,Primary education,Total,ural,40.52256,2018
Benin,mpletion rate for children of primary school age, Total,Primary education,Total,rban,58.06479,2018
Benin,mpletion rate for children of primary school age, Total,Primary education,Total,Total,47.67233,2018
Benin,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Female,Primary education,Total,Total,10.21,2014
Benin,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Male,Primary education,Total,Total,9.21,2014
Benin,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics, Total,Primary education,Total,Total,19.1,2019
Benin,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Female,Primary education,Total,Total,20.31,2014
Benin,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Male,Primary education,Total,Total,26.05,2014
Benin,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading, Total,Primary education,Total,Total,45.5,2019
Benin, Out-of-school rate for children of primary school age,Female,Primary education,Total,Total,34.7,2018
Benin, Out-of-school rate for children of primary school age,Male,Primary education,Total,Total,28.3,2018
Benin, Out-of-school rate for children of primary school age, Total,Primary education,Lowest,Total,59.2,2018
Benin, Out-of-school rate for children of primary school age, Total,Primary education,Second,Total,39.4,2018
Benin, Out-of-school rate for children of primary school age, Total,Primary education,Middle,Total,29.9,2018
Benin, Out-of-school rate for children of primary school age, Total,Primary education,Fourth,Total,14.7,2018
Benin, Out-of-school rate for children of primary school age, Total,Primary education,Highest,Total,6.5,2018
Benin, Out-of-school rate for children of primary school age, Total,Primary education,Total,ural,38.1,2018
Benin, Out-of-school rate for children of primary school age, Total,Primary education,Total,rban,20.6,2018
Benin, Out-of-school rate for children of primary school age, Total,Primary education,Total,Total,31.5,2018
Burkina Faso,Adjusted net attendance rate for children of primary school age,Female,Primary education,Total,Total,50.0,2010
Burkina Faso,Adjusted net attendance rate for children of primary school age,Male,Primary education,Total,Total,53.7,2010
Burkina Faso,Adjusted net attendance rate for children of primary school age, Total,Primary education,Lowest,Total,30.8,2010
Burkina Faso,Adjusted net attendance rate for children of primary school age, Total,Primary education,Second,Total,42.1,2010
Burkina Faso,Adjusted net attendance rate for children of primary school age, Total,Primary education,Middle,Total,50.5,2010
Burkina Faso,Adjusted net attendance rate for children of primary school age, Total,Primary education,Fourth,Total,60.4,2010
Burkina Faso,Adjusted net attendance rate for children of primary school age, Total,Primary education,Highest,Total,85.2,2010
Burkina Faso,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,ural,45.3,2010
Burkina Faso,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,rban,82.7,2010
Burkina Faso,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,Total,51.9,2010
Burkina Faso,mpletion rate for children of primary school age,Female,Primary education,Total,Total,29.4,2010
Burkina Faso,mpletion rate for children of primary school age,Male,Primary education,Total,Total,31.8,2010
Burkina Faso,mpletion rate for children of primary school age, Total,Primary education,Lowest,Total,9.9,2010
Burkina Faso,mpletion rate for children of primary school age, Total,Primary education,Second,Total,17.4,2010
Burkina Faso,mpletion rate for children of primary school age, Total,Primary education,Middle,Total,22.3,2010
Burkina Faso,mpletion rate for children of primary school age, Total,Primary education,Fourth,Total,34.5,2010
Burkina Faso,mpletion rate for children of primary school age, Total,Primary education,Highest,Total,60.1,2010
Burkina Faso,mpletion rate for children of primary school age, Total,Primary education,Total,ural,20.5,2010
Burkina Faso,mpletion rate for children of primary school age, Total,Primary education,Total,rban,58.4,2010
Burkina Faso,mpletion rate for children of primary school age, Total,Primary education,Total,Total,30.7,2010
Burkina Faso,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Female,Primary education,Total,Total,17.9,2014
Burkina Faso,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics,Male,Primary education,Total,Total,24.12,2014
Burkina Faso,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics, Total,Primary education,Total,Total,25.0,2019
Burkina Faso,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Female,Primary education,Total,Total,19.58,2014
Burkina Faso,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading,Male,Primary education,Total,Total,22.13,2014
Burkina Faso,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading, Total,Primary education,Total,Total,33.0,2019
Burkina Faso, Out-of-school rate for children of primary school age,Female,Primary education,Total,Total,50.0,2010
Burkina Faso, Out-of-school rate for children of primary school age,Male,Primary education,Total,Total,46.3,2010
Burkina Faso, Out-of-school rate for children of primary school age, Total,Primary education,Lowest,Total,69.2,2010
Burkina Faso, Out-of-school rate for children of primary school age, Total,Primary education,Second,Total,57.9,2010
Burkina Faso, Out-of-school rate for children of primary school age, Total,Primary education,Middle,Total,49.5,2010
Burkina Faso, Out-of-school rate for children of primary school age, Total,Primary education,Fourth,Total,39.6,2010
Burkina Faso, Out-of-school rate for children of primary school age, Total,Primary education,Highest,Total,14.8,2010
Burkina Faso, Out-of-school rate for children of primary school age, Total,Primary education,Total,ural,54.7,2010
Burkina Faso, Out-of-school rate for children of primary school age, Total,Primary education,Total,rban,17.3,2010
Burkina Faso, Out-of-school rate for children of primary school age, Total,Primary education,Total,Total,48.1,2010
Bangladesh,Adjusted net attendance rate for children of primary school age,Female,Primary education,Total,Total,88.5,2019
Bangladesh,Adjusted net attendance rate for children of primary school age,Male,Primary education,Total,Total,83.3,2019
Bangladesh,Adjusted net attendance rate for children of primary school age, Total,Primary education,Lowest,Total,82.2,2019
Bangladesh,Adjusted net attendance rate for children of primary school age, Total,Primary education,Second,Total,85.2,2019
Bangladesh,Adjusted net attendance rate for children of primary school age, Total,Primary education,Middle,Total,87.3,2019
Bangladesh,Adjusted net attendance rate for children of primary school age, Total,Primary education,Fourth,Total,86.7,2019
Bangladesh,Adjusted net attendance rate for children of primary school age, Total,Primary education,Highest,Total,89.2,2019
Bangladesh,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,ural,85.8,2019
